t_req	t_hold	t_exp	source	dest	lp_size	slot_indx
0.000000	11.922721	11.922721	8	9	9	265
0.042661	3.370675	3.413336	7	6	5	119
0.316308	2.572841	2.889149	0	2	3	209
0.436012	8.014337	8.450349	8	0	4	13
0.519007	12.710709	13.229716	10	8	3	249
0.534428	5.500975	6.035403	2	4	2	78
0.549845	39.509821	40.059666	5	4	2	141
0.555285	11.546423	12.101708	7	8	3	83
0.738124	6.557202	7.295326	10	4	5	218
0.821677	4.977737	5.799414	3	8	4	141
0.933609	4.203423	5.137032	10	8	6	172
0.935500	13.058199	13.993699	9	8	5	264
1.254005	5.772722	7.026727	3	4	1	40
1.416408	0.615328	2.031736	6	10	1	58
1.438107	5.075714	6.513820	11	1	7	327
1.456350	13.393932	14.850283	5	9	5	342
1.474770	2.014943	3.489712	11	10	7	389
1.507747	1.929196	3.436943	10	0	4	292
1.575377	7.583288	9.158665	11	4	8	119
1.626789	7.589186	9.215976	9	7	9	363
1.658082	10.062181	11.720263	7	10	3	62
1.744116	18.933391	20.677507	7	5	1	132
1.757774	12.890055	14.647829	5	9	4	299
1.789184	9.442364	11.231548	4	10	7	307
1.830664	12.817303	14.647967	0	5	7	67
1.886022	3.900233	5.786255	0	5	8	293
2.025834	4.490858	6.516692	6	3	7	265
2.046083	2.591118	4.637200	10	4	8	310
2.111722	3.477351	5.589073	7	0	9	343
2.193313	9.968939	12.162253	6	8	1	92
2.197637	0.966265	3.163902	4	3	1	202
2.282667	5.686334	7.969001	0	9	7	49
2.299664	5.636337	7.936001	7	5	10	268
2.305779	6.805965	9.111744	9	5	4	187
2.576114	5.548303	8.124417	5	0	10	8
2.882535	3.743462	6.625997	1	0	7	81
3.032747	5.557381	8.590128	4	1	6	139
3.065773	22.385701	25.451474	8	0	8	159
3.075117	28.852651	31.927768	11	1	2	165
3.179912	6.968273	10.148185	5	10	4	92
3.232648	9.780410	13.013058	9	5	8	15
3.244480	1.228666	4.473146	11	3	7	132
3.306620	3.816785	7.123405	1	10	4	20
3.309802	5.358464	8.668266	10	7	10	154
3.528022	20.122253	23.650275	5	11	10	286
3.555245	2.882894	6.438139	9	10	4	200
3.653996	6.597787	10.251783	4	8	2	94
3.687955	42.377383	46.065338	2	10	10	299
3.754692	7.328971	11.083663	10	4	7	55
3.826621	9.490581	13.317202	5	7	10	266
3.845202	1.285480	5.130682	6	5	8	386
4.162730	17.506605	21.669335	3	5	8	9
4.298389	9.239705	13.538093	8	6	4	356
4.553397	7.876073	12.429471	7	10	1	289
4.758138	4.197119	8.955257	9	6	9	145
4.840962	3.625792	8.466753	1	10	9	329
5.072728	5.396062	10.468790	11	7	4	61
5.081152	11.435075	16.516226	3	11	9	182
5.100982	20.831030	25.932012	0	4	10	189
5.105189	7.142122	12.247311	8	11	10	291
5.140965	11.065853	16.206819	2	11	6	98
5.185704	8.817361	14.003065	6	1	4	4
5.214482	9.805720	15.020202	8	9	9	347
5.374897	11.229738	16.604635	6	3	10	80
5.415008	18.473299	23.888308	9	10	6	373
5.444990	0.868605	6.313595	0	11	1	346
5.516118	14.425805	19.941923	0	10	1	376
5.529927	2.792727	8.322654	5	11	10	387
5.677244	2.159482	7.836726	11	3	7	198
5.684287	8.497003	14.181290	3	4	7	380
6.078301	1.006080	7.084380	5	8	7	173
6.212799	21.656692	27.869491	6	8	5	116
6.232939	9.868446	16.101385	5	8	10	350
6.233442	12.852420	19.085862	11	6	6	245
6.387069	0.162607	6.549676	4	6	4	27
6.498624	9.024664	15.523288	1	7	7	308
6.617320	8.137007	14.754328	2	6	1	116
6.751431	1.731156	8.482587	10	8	1	396
6.758424	1.661378	8.419803	8	6	8	183
6.798778	11.891812	18.690590	5	7	1	337
6.809974	3.838500	10.648474	11	6	3	11
6.990749	11.775591	18.766340	7	0	9	114
7.079504	8.082960	15.162464	1	9	1	96
7.116033	4.925774	12.041807	0	8	9	278
7.122002	25.920353	33.042355	4	10	3	223
7.155865	18.430738	25.586603	9	0	8	217
7.191621	4.422290	11.613911	7	4	6	303
7.310519	0.445701	7.756220	9	10	1	207
7.402781	3.635098	11.037879	7	10	1	335
7.601168	5.078063	12.679231	2	7	10	7
7.659265	12.206404	19.865668	7	8	1	380
7.670844	53.727138	61.397982	3	10	9	369
7.784401	4.399244	12.183645	10	0	9	227
7.914437	14.377890	22.292327	8	2	4	36
7.989336	8.993769	16.983104	5	1	9	169
8.123326	11.766878	19.890203	1	5	7	354
8.185218	1.638462	9.823680	5	0	1	326
8.252461	5.089545	13.342007	8	3	1	393
8.303172	2.755637	11.058808	9	0	5	252
8.305512	4.207656	12.513168	4	7	1	231
8.315891	7.197543	15.513435	0	5	1	220
8.318794	10.984859	19.303654	5	11	9	20
8.410770	1.119471	9.530241	9	5	5	230
8.445079	1.402913	9.847991	7	11	10	99
8.509664	3.885794	12.395458	4	8	8	190
8.726142	10.834213	19.560355	3	8	9	154
8.752210	18.740953	27.493162	8	5	7	318
8.800235	8.057726	16.857961	9	1	4	258
8.928303	19.272527	28.200830	3	8	3	327
8.951922	4.858693	13.810615	2	10	10	317
8.959204	3.809499	12.768703	7	11	10	367
8.990308	4.373656	13.363964	0	7	10	2
9.006290	1.876338	10.882629	5	7	9	374
9.247650	17.667506	26.915156	1	8	9	371
9.397730	4.135036	13.532766	7	3	1	129
9.488957	8.037884	17.526841	9	8	6	86
9.675459	8.640576	18.316035	0	11	5	142
9.823456	7.371682	17.195137	5	3	2	243
9.842228	0.026917	9.869145	4	9	5	292
10.045029	44.520560	54.565589	5	3	9	195
10.115493	23.574804	33.690297	5	8	6	249
10.265252	2.327342	12.592594	8	0	10	76
10.471092	3.460027	13.931119	3	9	8	266
10.505886	7.339903	17.845789	5	10	4	73
10.516485	23.218838	33.735324	1	0	5	133
10.540002	41.123589	51.663592	6	10	2	134
10.590644	2.977891	13.568534	9	4	9	339
10.745537	8.309369	19.054906	0	8	2	266
10.924751	16.449028	27.373779	4	1	3	176
10.925385	5.014861	15.940246	5	10	10	114
10.990374	13.133154	24.123528	4	1	2	41
11.039489	1.756268	12.795758	11	7	1	385
11.062323	9.180387	20.242709	2	1	6	44
11.073930	20.089045	31.162975	0	3	4	387
11.111376	41.057054	52.168430	8	0	3	128
11.371660	0.826925	12.198585	8	11	9	234
11.407149	5.592236	16.999385	6	4	1	156
11.473645	2.288383	13.762028	1	7	1	306
11.584017	5.989949	17.573966	0	2	6	120
11.625105	7.935502	19.560607	4	1	8	264
11.949451	0.979731	12.929182	1	5	10	283
12.247815	3.522004	15.769819	2	1	1	145
12.274184	26.253313	38.527498	10	8	4	85
12.336699	8.416558	20.753257	3	2	4	247
12.369238	6.114050	18.483288	1	9	3	197
12.399715	14.004987	26.404702	3	1	7	133
12.403132	13.542615	25.945747	6	10	6	146
12.488631	0.497987	12.986618	1	8	2	237
12.552133	12.333927	24.886060	4	8	10	309
12.556938	18.278635	30.835573	7	2	4	143
12.586631	1.814474	14.401105	10	0	10	160
12.803800	15.186741	27.990541	1	5	6	115
12.828696	3.376242	16.204938	1	11	3	83
12.842927	3.659604	16.502531	8	1	8	193
12.904042	10.944055	23.848098	0	3	1	102
13.289864	1.180993	14.470857	7	4	8	29
13.315059	10.932441	24.247499	7	6	5	206
13.416436	21.879786	35.296222	7	3	8	43
13.546790	11.917520	25.464310	7	9	4	309
13.571457	5.804042	19.375498	8	6	5	76
13.689888	5.766350	19.456238	10	6	5	337
13.731572	14.485788	28.217360	10	3	1	81
13.822527	8.338862	22.161389	11	6	6	354
13.913785	0.887265	14.801050	2	5	1	142
13.983547	8.738806	22.722353	8	7	6	266
13.992150	16.865550	30.857700	2	3	6	31
14.156118	4.110804	18.266922	1	10	3	25
14.191282	26.252255	40.443538	5	0	1	72
14.210049	13.891665	28.101714	4	9	4	72
14.213833	8.534658	22.748491	1	5	9	279
14.295086	13.928920	28.224006	0	11	3	343
14.397982	0.824570	15.222551	5	6	4	89
14.399502	19.617586	34.017088	6	2	5	213
14.464741	17.231897	31.696638	11	1	1	50
14.488089	24.065206	38.553295	9	7	4	352
14.582282	1.376900	15.959182	2	7	9	340
14.599701	0.853184	15.452884	0	8	6	282
14.706447	1.489822	16.196269	1	3	3	110
14.750898	5.097907	19.848805	6	7	5	41
15.001838	5.521805	20.523643	6	9	9	49
15.015288	8.260351	23.275639	1	5	3	303
15.053209	1.303861	16.357070	2	5	10	274
15.064158	2.248945	17.313103	8	3	6	359
15.299267	16.694233	31.993500	3	2	2	18
15.490024	6.310884	21.800909	10	6	2	161
15.517145	16.499381	32.016526	5	1	6	47
15.615214	0.074541	15.689755	11	8	6	6
15.769713	8.020534	23.790246	9	10	1	94
15.843361	26.872502	42.715864	4	5	2	240
15.911932	8.726937	24.638869	1	4	1	382
15.937103	2.307924	18.245027	0	9	3	50
15.945987	12.649889	28.595876	0	10	7	94
16.152816	4.764014	20.916830	6	8	6	296
16.362523	11.037774	27.400298	4	2	8	121
16.453675	0.297581	16.751256	1	8	1	180
16.491315	10.103277	26.594593	8	2	1	337
16.530367	0.327277	16.857644	8	4	2	341
16.648046	13.656319	30.304365	1	0	1	65
16.854782	6.403897	23.258679	3	4	1	383
17.053067	1.298289	18.351356	7	9	8	238
17.190663	7.822755	25.013419	11	2	1	189
17.284055	0.691084	17.975139	4	3	3	291
17.292045	10.594826	27.886871	2	0	10	321
17.308072	55.432791	72.740863	6	10	8	17
17.516093	14.670591	32.186684	8	1	9	138
17.600865	8.527858	26.128723	10	8	5	107
17.601705	1.082929	18.684634	4	1	5	9
17.611432	12.034199	29.645631	9	11	7	301
17.710447	10.822505	28.532952	8	2	7	380
17.710908	0.503434	18.214342	9	7	2	10
17.726846	15.716572	33.443418	1	8	9	160
17.799182	7.312990	25.112172	4	6	2	182
17.906211	5.548954	23.455165	2	10	2	316
18.002160	15.520523	33.522683	10	5	6	73
18.025246	5.302960	23.328206	6	0	7	311
18.138466	6.559020	24.697486	9	5	10	51
18.163086	2.004393	20.167480	4	0	3	154
18.198871	3.876039	22.074911	6	4	10	60
18.323631	18.677748	37.001379	9	0	1	35
18.418974	2.069058	20.488032	8	7	8	150
18.590970	5.400675	23.991645	5	0	10	350
18.688408	45.130020	63.818428	3	1	5	32
18.764776	2.699729	21.464504	10	3	4	297
18.773717	24.868966	43.642683	5	8	2	130
18.815391	25.058950	43.874341	5	7	10	318
18.843406	0.957362	19.800768	5	4	4	126
18.868833	6.229734	25.098567	11	5	2	92
19.197225	6.975897	26.173122	7	3	5	0
19.242624	3.763952	23.006576	3	4	6	216
19.444992	0.484967	19.929960	6	2	9	384
19.535659	2.766573	22.302232	7	0	6	355
19.679643	1.004057	20.683701	10	7	4	23
19.743137	2.721367	22.464505	8	1	2	91
19.821333	16.491724	36.313058	8	5	3	85
19.882996	22.535882	42.418878	2	1	9	338
19.902743	0.441848	20.344592	10	8	7	126
20.019267	3.594600	23.613867	11	2	3	208
20.049229	39.415650	59.464879	4	5	8	267
20.051467	7.754529	27.805995	7	3	1	301
20.145736	9.843270	29.989006	9	0	8	103
20.163458	0.055608	20.219066	11	0	9	79
20.419920	6.634126	27.054045	7	11	9	72
20.699698	44.506083	65.205781	1	9	5	243
20.923654	4.703005	25.626659	11	8	1	135
20.965680	1.020750	21.986430	9	4	6	95
20.967096	6.197271	27.164367	2	10	1	134
21.206689	32.969581	54.176270	10	8	7	250
21.257501	4.182930	25.440431	8	5	4	364
21.566669	16.040660	37.607329	2	11	8	99
21.867918	16.036861	37.904779	0	1	5	233
22.042226	2.335074	24.377300	9	8	9	155
22.073932	5.858504	27.932436	2	0	5	347
22.118141	12.573781	34.691921	11	3	3	159
22.291298	5.285141	27.576439	6	3	5	102
22.325947	2.119650	24.445597	3	9	3	40
22.342831	34.263400	56.606231	5	10	7	145
22.416807	10.519683	32.936490	3	6	6	109
22.666925	20.058926	42.725851	11	3	4	117
22.775181	0.255664	23.030846	1	11	9	358
22.851919	3.104811	25.956730	1	3	7	11
22.861212	6.972980	29.834192	8	10	2	397
22.947988	0.698310	23.646298	8	6	9	293
23.367131	49.666080	73.033211	7	6	5	132
23.380851	2.697929	26.078780	7	1	6	379
23.447259	4.688718	28.135977	9	2	4	19
23.638042	2.408136	26.046178	7	11	6	260
23.760772	1.114299	24.875071	9	3	5	281
23.869325	2.645905	26.515229	3	2	7	350
23.979533	3.575469	27.555002	8	5	5	204
24.020032	10.063311	34.083342	5	6	3	6
24.051628	3.302205	27.353834	8	3	5	391
24.202299	4.498509	28.700808	8	5	8	167
24.353329	0.059606	24.412934	0	11	10	376
24.536779	4.552634	29.089413	6	4	8	390
24.759016	7.633250	32.392266	5	9	1	192
24.824116	1.767561	26.591677	8	7	3	374
24.887405	9.098940	33.986345	4	5	10	49
25.032946	3.469403	28.502349	5	7	8	101
25.128375	9.998096	35.126471	0	6	4	241
25.238425	0.265458	25.503884	1	5	1	242
25.382845	21.856332	47.239177	10	4	8	164
25.583511	0.162499	25.746011	11	9	8	27
25.621009	1.357716	26.978726	3	5	2	107
25.663822	15.013123	40.676945	0	4	10	316
25.672794	0.469818	26.142612	8	10	4	27
25.751286	12.413241	38.164527	6	11	6	242
25.754614	35.420518	61.175132	3	8	10	60
25.811578	20.532510	46.344088	8	5	3	232
25.882696	12.384319	38.267015	8	6	7	278
25.913390	31.822967	57.736356	10	5	7	318
25.994629	5.617915	31.612544	2	6	6	54
25.997445	20.626152	46.623597	5	8	8	122
26.000905	4.399908	30.400813	7	1	6	186
26.158119	26.558893	52.717012	8	4	5	227
26.198718	1.610819	27.809537	6	7	7	82
26.211071	28.138944	54.350015	6	8	4	184
26.278222	17.880635	44.158856	6	9	3	194
26.411826	18.711588	45.123414	2	3	3	152
26.433928	1.323013	27.756941	9	10	9	340
26.522584	9.075463	35.598047	11	7	4	363
26.530694	0.165283	26.695977	8	10	5	361
26.535518	12.772045	39.307563	6	8	7	376
26.604419	0.077676	26.682095	4	0	5	23
26.675138	0.886370	27.561508	9	7	1	272
26.767369	2.555356	29.322724	4	11	10	275
26.885092	20.804383	47.689475	7	2	3	221
27.223598	4.518908	31.742505	6	3	1	52
27.289624	7.764417	35.054041	2	5	2	360
27.325080	8.395686	35.720767	4	8	6	367
27.469231	2.554903	30.024134	11	10	2	378
27.497944	8.489751	35.987695	3	4	4	130
27.550488	10.816130	38.366618	3	5	8	361
27.557916	3.541715	31.099631	3	8	5	194
27.560251	5.423625	32.983875	9	3	4	45
27.859103	6.034691	33.893794	0	10	7	205
28.023446	26.934177	54.957623	8	0	1	152
28.131686	8.855039	36.986725	8	10	1	296
28.179491	29.613767	57.793258	5	8	7	153
28.196792	8.120090	36.316882	6	5	4	99
28.212258	6.942707	35.154964	10	1	9	11
28.238440	0.035385	28.273825	3	1	3	71
28.310875	6.556376	34.867252	7	8	8	237
28.424862	26.235482	54.660344	5	3	1	257
28.522988	2.211027	30.734016	9	4	6	175
28.552844	0.534969	29.087813	4	0	7	247
28.834490	5.221881	34.056370	10	7	5	243
28.956218	4.658467	33.614685	4	8	10	355
29.029694	19.459816	48.489509	10	8	3	95
29.115697	0.269716	29.385413	11	2	3	179
29.165155	25.275958	54.441112	11	0	3	104
29.191033	11.422601	40.613634	4	10	10	246
29.231034	23.457640	52.688674	6	3	4	32
29.359960	9.352928	38.712888	8	10	8	59
29.361278	16.710650	46.071928	5	1	7	230
29.372494	4.087864	33.460359	7	11	9	355
29.376776	4.301158	33.677934	1	0	8	297
29.380556	4.940902	34.321457	0	7	4	51
29.556392	14.056692	43.613084	10	2	4	352
29.666960	4.609110	34.276069	11	1	5	368
29.725395	2.773619	32.499014	5	9	9	384
29.734754	27.752861	57.487615	1	3	5	326
29.796256	23.860872	53.657128	6	5	7	349
29.854570	4.289343	34.143913	3	8	10	82
29.871860	10.068668	39.940528	4	1	10	335
29.923578	3.199879	33.123458	4	5	4	229
29.969791	2.308168	32.277959	3	2	5	306
30.056765	4.099846	34.156611	5	10	10	104
30.148412	3.961584	34.109996	4	11	3	91
30.152627	21.394132	51.546759	7	1	6	370
30.195298	17.276800	47.472098	3	2	9	284
30.284673	12.365760	42.650433	0	11	7	110
30.348259	32.026390	62.374648	9	0	2	395
30.524745	5.491219	36.015964	5	8	1	152
30.622470	2.810813	33.433283	6	2	10	288
30.638638	1.248814	31.887452	5	1	1	265
30.645291	3.581809	34.227100	7	2	3	115
30.738782	1.569623	32.308405	5	9	4	87
30.741224	0.967159	31.708383	8	10	3	4
30.821347	9.236482	40.057829	7	2	9	314
31.077461	4.528515	35.605976	9	10	6	144
31.155350	8.314220	39.469570	10	4	1	234
31.200014	2.123714	33.323728	6	3	1	89
31.293725	11.298115	42.591841	0	9	6	136
31.349449	2.427157	33.776605	9	3	8	319
31.421159	3.257628	34.678787	8	7	4	16
31.679171	13.538675	45.217846	8	10	3	356
31.723528	8.203850	39.927378	10	11	6	359
32.018900	4.077223	36.096122	8	7	4	305
32.233225	7.830473	40.063698	8	3	10	333
32.253034	11.841202	44.094235	2	1	8	28
32.259569	24.319210	56.578778	1	7	7	50
32.269225	8.692001	40.961227	8	2	4	101
32.270897	2.648597	34.919494	11	0	4	169
32.279916	13.731714	46.011629	0	9	9	354
32.384359	15.040380	47.424739	1	4	2	389
32.391073	2.236453	34.627526	7	10	10	60
32.425996	17.179936	49.605932	4	0	8	386
32.595407	6.253668	38.849075	1	2	8	285
32.597548	15.130677	47.728225	2	0	2	290
32.750687	2.711242	35.461929	11	3	3	65
32.780786	4.043362	36.824147	1	6	2	369
32.792218	30.725511	63.517729	11	5	2	83
32.900686	10.724040	43.624726	1	9	3	29
32.990813	14.822672	47.813486	7	9	5	267
33.181669	11.659526	44.841196	11	4	10	304
33.302423	2.285382	35.587806	9	0	4	14
33.450332	6.361786	39.812118	7	6	10	165
33.480453	16.552927	50.033381	8	9	5	45
33.498211	11.240382	44.738593	1	9	5	86
33.624461	0.060461	33.684923	8	5	1	198
33.773935	0.914661	34.688596	5	6	7	81
34.197299	4.258638	38.455937	6	0	5	105
34.245670	28.889525	63.135195	0	5	7	82
34.287965	6.756816	41.044780	3	10	7	163
34.424143	3.149522	37.573665	0	8	2	351
34.462027	4.469494	38.931521	10	11	4	201
34.704767	2.365488	37.070255	7	2	7	3
34.882480	5.467984	40.350464	0	11	4	167
34.933421	2.459459	37.392880	9	6	8	82
35.059765	18.691969	53.751734	7	6	2	311
35.187459	6.093036	41.280495	9	2	10	333
35.197354	3.282291	38.479645	0	11	6	199
35.409030	27.014468	62.423498	9	10	1	385
35.473004	3.773900	39.246903	4	6	2	84
35.632216	24.047802	59.680018	10	4	4	45
35.667283	0.443889	36.111171	8	0	4	173
35.872627	12.279754	48.152382	7	3	8	101
35.917445	6.614335	42.531779	2	8	7	268
35.918435	5.873847	41.792282	9	10	10	316
36.132790	0.369995	36.502785	8	9	10	242
36.141493	0.415339	36.556832	2	6	2	393
36.176461	4.045959	40.222420	9	5	5	268
36.448913	29.397214	65.846127	7	11	8	51
36.722363	9.614450	46.336813	10	1	7	4
36.799817	4.602511	41.402328	9	4	6	208
36.890657	9.466908	46.357564	0	1	8	94
36.944749	2.308375	39.253124	3	7	3	135
36.976296	1.804031	38.780328	3	8	3	4
37.012522	4.491306	41.503829	7	10	10	291
37.114006	19.903569	57.017575	5	0	10	337
37.240901	7.121297	44.362197	8	9	4	325
37.383464	3.522583	40.906047	11	9	3	273
37.525176	30.007775	67.532951	3	5	9	40
37.533870	16.926352	54.460223	10	3	3	192
37.595875	3.900455	41.496330	10	11	2	143
37.601264	35.790657	73.391921	11	1	1	63
37.673760	43.701849	81.375609	0	10	2	287
37.726720	5.253644	42.980363	3	8	6	389
37.925503	10.668901	48.594404	2	7	1	387
37.964794	5.202923	43.167716	2	7	2	371
37.976112	2.975279	40.951391	7	8	7	71
37.990140	0.862691	38.852831	7	4	5	210
38.120452	3.059959	41.180411	6	3	4	307
38.207989	3.167400	41.375389	4	11	1	16
38.217681	5.085600	43.303281	8	11	1	81
38.225668	2.044273	40.269941	6	4	1	336
38.335414	30.751739	69.087153	11	5	10	152
38.342282	1.085655	39.427937	3	6	2	214
38.499117	9.813855	48.312972	0	1	9	372
38.610480	5.828541	44.439022	1	9	1	325
