t_req	t_hold	t_exp	source	dest	lp_size	slot_indx
0.000000	11.922721	11.922721	8	9	9	265
0.052141	3.370675	3.422816	7	6	5	119
0.386599	2.572841	2.959440	0	2	3	209
0.532904	8.014337	8.547241	8	0	4	13
0.634342	12.710709	13.345051	10	8	3	249
0.653189	5.500975	6.154165	2	4	2	78
0.672033	39.509821	40.181854	5	4	2	141
0.678682	11.546423	12.225105	7	8	3	83
0.902152	6.557202	7.459354	10	4	5	218
1.004272	4.977737	5.982009	3	8	4	141
1.141078	4.203423	5.344500	10	8	6	172
1.143389	13.058199	14.201588	9	8	5	264
1.532673	5.772722	7.305395	3	4	1	40
1.731165	0.615328	2.346493	6	10	1	58
1.757686	5.075714	6.833400	11	1	7	327
1.779984	13.393932	15.173916	5	9	5	342
1.802496	2.014943	3.817439	11	10	7	389
1.842802	1.929196	3.771998	10	0	4	292
1.925461	7.583288	9.508749	11	4	8	119
1.988298	7.589186	9.577485	9	7	9	363
2.026545	10.062181	12.088726	7	10	3	62
2.131698	18.933391	21.065089	7	5	1	132
2.148390	12.890055	15.038445	5	9	4	299
2.186781	9.442364	11.629145	4	10	7	307
2.237478	12.817303	15.054782	0	5	7	67
2.305138	3.900233	6.205371	0	5	8	293
2.476020	4.490858	6.966877	6	3	7	258
2.500768	2.591118	5.091886	10	4	8	310
2.580993	3.477351	6.058344	7	0	9	343
2.680716	9.968939	12.649655	6	8	1	92
2.686001	0.966265	3.652266	4	3	1	202
2.789927	5.686334	8.476261	0	9	7	49
2.810700	5.636337	8.447037	7	5	10	268
2.818174	6.805965	9.624139	9	5	4	187
3.148584	5.548303	8.696887	5	0	10	8
3.523098	3.743462	7.266560	1	0	7	81
3.706691	5.557381	9.264072	4	1	6	139
3.747056	22.385701	26.132757	8	0	8	159
3.758476	28.852651	32.611127	11	1	2	165
3.886559	6.968273	10.854832	5	10	4	92
3.951014	9.780410	13.731424	9	5	8	15
3.965475	1.228666	5.194141	11	3	7	132
4.041425	3.816785	7.858210	1	10	4	20
4.045313	5.358464	9.403777	10	7	10	154
4.312027	20.122253	24.434280	5	11	10	286
4.345300	2.882894	7.228194	9	10	4	200
4.465995	6.597787	11.063782	4	8	2	94
4.507500	42.377383	46.884883	2	10	10	299
4.589068	7.328971	11.918039	10	4	7	55
4.676982	9.490581	14.167562	5	7	10	266
4.699691	1.285480	5.985172	6	5	8	386
5.087781	17.506605	22.594386	3	5	8	9
5.253586	9.239705	14.493291	8	6	4	356
5.565263	7.876073	13.441337	7	10	1	289
5.815502	4.197119	10.012621	9	6	9	145
5.916731	3.625792	9.542523	1	10	9	329
6.200001	5.396062	11.596063	11	7	4	61
6.210296	11.435075	17.645371	3	11	9	170
6.234534	20.831030	27.065563	0	4	10	189
6.239676	7.142122	13.381798	8	11	10	291
6.283402	11.065853	17.349255	2	11	6	91
6.338083	8.817361	15.155444	6	1	4	4
6.373256	9.805720	16.178976	8	9	9	347
6.569318	11.229738	17.799056	6	3	10	80
6.618344	18.473299	25.091643	9	10	6	373
6.654988	0.868605	7.523593	0	11	1	338
6.741922	14.425805	21.167727	0	10	1	368
6.758800	2.792727	9.551527	5	11	10	387
6.938854	2.159482	9.098336	11	3	7	198
6.947462	8.497003	15.444465	3	4	7	370
7.429034	1.006080	8.435114	5	8	7	173
7.593421	21.656692	29.250113	6	8	5	116
7.618037	9.868446	17.486482	5	8	10	350
7.618652	12.852420	20.471072	11	6	6	245
7.806418	0.162607	7.969025	4	6	4	27
7.942762	9.024664	16.967426	1	7	7	285
8.087836	8.137007	16.224843	2	6	1	116
8.251749	1.731156	9.982905	10	8	1	391
8.260296	1.661378	9.921675	8	6	8	183
8.309618	11.891812	20.201429	5	7	1	337
8.323301	3.838500	12.161801	11	6	3	11
8.544249	11.775591	20.319839	7	0	9	114
8.652727	8.082960	16.735687	1	9	1	92
8.697373	4.925774	13.623147	0	8	9	263
8.704670	25.920353	34.625022	4	10	3	223
8.746057	18.430738	27.176795	9	0	8	217
8.789759	4.422290	13.212049	7	4	6	282
8.935078	0.445701	9.380779	9	10	1	207
9.047844	3.635098	12.682942	7	10	1	325
9.290316	5.078063	14.368379	2	7	10	7
9.361324	12.206404	21.567727	7	8	1	370
9.375476	53.727138	63.102614	3	10	9	384
9.514268	4.399244	13.913512	10	0	9	209
9.673200	14.377890	24.051090	8	2	4	29
9.764743	8.993769	18.758512	5	1	9	151
9.928509	11.766878	21.695387	1	5	7	339
10.004155	1.638462	11.642617	5	0	1	326
10.086342	5.089545	15.175887	8	3	1	381
10.148321	2.755637	12.903958	9	0	5	231
10.151182	4.207656	14.358838	4	7	1	222
10.163867	7.197543	17.361411	0	5	1	220
10.167415	10.984859	21.152275	5	11	9	20
10.279830	1.119471	11.399301	9	5	5	197
10.321763	1.402913	11.724675	7	11	10	99
10.400700	3.885794	14.286494	4	8	8	177
