t_req	t_hold	t_exp	source	dest	lp_size	slot_indx
0.000000	11.922721	11.922721	8	9	9	265
0.039106	3.370675	3.409781	7	6	5	119
0.289949	2.572841	2.862790	0	2	3	209
0.399678	8.014337	8.414015	8	0	4	13
0.475756	12.710709	13.186466	10	8	3	249
0.489892	5.500975	5.990867	2	4	2	78
0.504025	39.509821	40.013846	5	4	2	141
0.509011	11.546423	12.055434	7	8	3	83
0.676614	6.557202	7.233816	10	4	5	218
0.753204	4.977737	5.730941	3	8	4	141
0.855808	4.203423	5.059231	10	8	6	172
0.857542	13.058199	13.915741	9	8	5	264
1.149505	5.772722	6.922227	3	4	1	40
1.298374	0.615328	1.913702	6	10	1	58
1.318265	5.075714	6.393978	11	1	7	327
1.334988	13.393932	14.728920	5	9	5	342
1.351872	2.014943	3.366815	11	10	7	389
1.382102	1.929196	3.311298	10	0	4	292
1.444096	7.583288	9.027384	11	4	8	119
1.491224	7.589186	9.080410	9	7	9	363
1.519909	10.062181	11.582090	7	10	3	62
1.598773	18.933391	20.532164	7	5	1	132
1.611293	12.890055	14.501348	5	9	4	299
1.640086	9.442364	11.082449	4	10	7	307
1.678109	12.817303	14.495412	0	5	7	67
1.728853	3.900233	5.629086	0	5	8	293
1.857015	4.490858	6.347873	6	3	7	265
1.875576	2.591118	4.466694	10	4	8	310
1.935745	3.477351	5.413096	7	0	9	343
2.010537	9.968939	11.979476	6	8	1	92
2.014501	0.966265	2.980766	4	3	1	202
2.092445	5.686334	7.778779	0	9	7	49
2.108025	5.636337	7.744362	7	5	10	268
2.113631	6.805965	8.919595	9	5	4	187
2.361438	5.548303	7.909741	5	0	10	8
2.642324	3.743462	6.385786	1	0	7	81
2.780018	5.557381	8.337399	4	1	6	139
2.810292	22.385701	25.195993	8	0	8	159
2.818857	28.852651	31.671508	11	1	2	165
2.914919	6.968273	9.883192	5	10	4	92
2.963260	9.780410	12.743670	9	5	8	15
2.974106	1.228666	4.202773	11	3	7	132
3.031069	3.816785	6.847854	1	10	4	20
3.033985	5.358464	8.392449	10	7	10	154
3.234020	20.122253	23.356273	5	11	10	286
3.258975	2.882894	6.141869	9	10	4	200
3.349496	6.597787	9.947283	4	8	2	94
3.380625	42.377383	45.758008	2	10	10	299
3.441801	7.328971	10.770772	10	4	7	55
3.507736	9.490581	12.998317	5	7	10	266
3.524769	1.285480	4.810249	6	5	8	386
3.815836	17.506605	21.322441	3	5	8	9
3.940190	9.239705	13.179894	8	6	4	356
4.173948	7.876073	12.050021	7	10	1	289
4.361627	4.197119	8.558745	9	6	9	145
4.437548	3.625792	8.063340	1	10	9	329
4.650001	5.396062	10.046063	11	7	4	61
4.657722	11.435075	16.092797	3	11	9	182
4.675900	20.831030	25.506930	0	4	10	189
4.679757	7.142122	11.821879	8	11	10	291
4.712551	11.065853	15.778405	2	11	6	98
4.753562	8.817361	13.570923	6	1	4	4
4.779942	9.805720	14.585662	8	9	9	347
4.926989	11.229738	16.156727	6	3	10	80
4.963758	18.473299	23.437057	9	10	6	373
4.991241	0.868605	5.859846	0	11	1	346
5.056442	14.425805	19.482247	0	10	1	376
5.069100	2.792727	7.861827	5	11	10	387
5.204140	2.159482	7.363622	11	3	7	198
5.210597	8.497003	13.707600	3	4	7	380
5.571775	1.006080	6.577855	5	8	7	173
5.695066	21.656692	27.351757	6	8	5	116
5.713527	9.868446	15.581973	5	8	10	350
5.713989	12.852420	18.566409	11	6	6	245
5.854814	0.162607	6.017421	4	6	4	27
5.957072	9.024664	14.981736	1	7	7	308
6.065877	8.137007	14.202884	2	6	1	116
6.188811	1.731156	7.919968	10	8	1	396
6.195222	1.661378	7.856601	8	6	8	183
6.232213	11.891812	18.124025	5	7	1	337
6.242476	3.838500	10.080976	11	6	3	11
6.408187	11.775591	18.183777	7	0	9	114
6.489545	8.082960	14.572505	1	9	1	96
6.523030	4.925774	11.448804	0	8	9	278
6.528502	25.920353	32.448855	4	10	3	223
6.559543	18.430738	24.990281	9	0	8	217
6.592319	4.422290	11.014610	7	4	6	303
6.701309	0.445701	7.147010	9	10	1	207
6.785883	3.635098	10.420981	7	10	1	335
6.967737	5.078063	12.045800	2	7	10	7
7.020993	12.206404	19.227396	7	8	1	380
7.031607	53.727138	60.758745	3	10	9	369
7.135701	4.399244	11.534945	10	0	9	240
7.254900	14.377890	21.632790	8	2	4	36
7.323558	8.993769	16.317326	5	1	9	169
7.446382	11.766878	19.213260	1	5	7	354
7.503116	1.638462	9.141579	5	0	1	336
7.564756	5.089545	12.654302	8	3	1	393
7.611241	2.755637	10.366877	9	0	5	252
7.613386	4.207656	11.821042	4	7	1	231
7.622900	7.197543	14.820444	0	5	1	227
7.625561	10.984859	18.610421	5	11	9	38
7.709872	1.119471	8.829344	9	5	5	230
7.741322	1.402913	9.144235	7	11	10	99
7.800525	3.885794	11.686319	4	8	8	190
7.998964	10.834213	18.833177	3	8	9	154
8.022859	18.740953	26.763811	8	5	7	328
8.066882	8.057726	16.124608	9	1	4	258
8.184278	19.272527	27.456805	3	8	3	327
8.205928	4.858693	13.064622	2	10	10	317
8.212604	3.809499	12.022103	7	11	10	367
8.241116	4.373656	12.614771	0	7	10	2
8.255766	1.876338	10.132105	5	7	9	366
8.477012	17.667506	26.144518	1	8	9	371
8.614586	4.135036	12.749622	7	3	1	129
8.698210	8.037884	16.736095	9	8	6	86
8.869170	8.640576	17.509747	0	11	5	142
9.004835	7.371682	16.376516	5	3	2	243
9.022043	0.026917	9.048959	4	9	5	292
9.207944	44.520560	53.728503	5	3	9	195
9.272535	23.574804	32.847339	5	8	6	249
9.409814	2.327342	11.737157	8	0	10	76
9.598501	3.460027	13.058528	3	9	8	266
9.630395	7.339903	16.970299	5	10	4	73
9.640111	23.218838	32.858950	1	0	5	133
9.661669	41.123589	50.785258	6	10	2	134
9.708090	2.977891	12.685981	9	4	9	339
9.850076	8.309369	18.159445	0	8	2	266
10.014355	16.449028	26.463383	4	1	3	176
10.014936	5.014861	15.029797	5	10	10	114
10.074509	13.133154	23.207664	4	1	2	41
10.119532	1.756268	11.875800	11	7	1	385
10.140462	9.180387	19.320849	2	1	6	44
10.151102	20.089045	30.240147	0	3	4	387
10.185428	41.057054	51.242482	8	0	3	128
