t_req	t_hold	t_exp	source	dest	lp_size	slot_indx
0.000000	11.922721	11.922721	8	9	9	265
0.067038	3.370675	3.437713	7	6	5	119
0.497056	2.572841	3.069896	0	2	3	209
0.685162	8.014337	8.699499	8	0	4	13
0.815583	12.710709	13.526292	10	8	3	249
0.839815	5.500975	6.340790	2	4	2	78
0.864043	39.509821	40.373863	5	4	2	141
0.872591	11.546423	12.419014	7	8	3	83
1.159910	6.557202	7.717112	10	4	5	218
1.291207	4.977737	6.268944	3	8	4	141
1.467100	4.203423	5.670523	10	8	6	172
1.470071	13.058199	14.528270	9	8	5	264
1.970580	5.772722	7.743301	3	4	1	40
2.225784	0.615328	2.841112	6	10	1	58
2.259882	5.075714	7.335596	11	1	7	327
2.288551	13.393932	15.682483	5	9	5	342
2.317495	2.014943	4.332438	11	10	7	389
2.369317	1.929196	4.298513	10	0	4	292
2.475592	7.583288	10.058881	11	4	8	119
2.556383	7.589186	10.145570	9	7	9	363
2.605558	10.062181	12.667739	7	10	3	62
2.740754	18.933391	21.674145	7	5	1	132
2.762216	12.890055	15.652271	5	9	4	299
2.811575	9.442364	12.253939	4	10	7	307
2.876758	12.817303	15.694061	0	5	7	67
2.963749	3.900233	6.863982	0	5	8	293
3.183454	4.490858	7.674312	6	3	7	258
3.215273	2.591118	5.806391	10	4	8	310
3.318420	3.477351	6.795771	7	0	9	343
3.446635	9.968939	13.415574	6	8	1	92
3.453430	0.966265	4.419695	4	3	1	202
3.587049	5.686334	9.273383	0	9	7	49
3.613758	5.636337	9.250094	7	5	10	255
3.623367	6.805965	10.429331	9	5	4	187
4.048179	5.548303	9.596482	5	0	10	8
4.529698	3.743462	8.273160	1	0	7	81
4.765745	5.557381	10.323126	4	1	6	139
4.817644	22.385701	27.203345	8	0	8	159
4.832326	28.852651	33.684978	11	1	2	165
4.997005	6.968273	11.965278	5	10	4	92
5.079875	9.780410	14.860285	9	5	8	15
5.098468	1.228666	6.327134	11	3	7	132
5.196118	3.816785	9.012903	1	10	4	20
5.201117	5.358464	10.559581	10	7	10	154
5.544034	20.122253	25.666287	5	11	10	286
5.586814	2.882894	8.469708	9	10	4	200
5.741993	6.597787	12.339780	4	8	2	94
5.795357	42.377383	48.172740	2	10	10	299
5.900230	7.328971	13.229201	10	4	7	55
6.013262	9.490581	15.503843	5	7	10	266
6.042460	1.285480	7.327941	6	5	8	386
6.541433	17.506605	24.048038	3	5	8	9
6.754611	9.239705	15.994316	8	6	4	356
7.155339	7.876073	15.031412	7	10	1	289
7.477075	4.197119	11.674193	9	6	9	145
7.607225	3.625792	11.233017	1	10	9	329
7.971430	5.396062	13.367492	11	7	4	61
7.984667	11.435075	19.419741	3	11	9	161
8.015829	20.831030	28.846859	0	4	10	189
8.022441	7.142122	15.164562	8	11	10	291
8.078659	11.065853	19.144513	2	11	6	91
8.148964	8.817361	16.966324	6	1	4	4
8.194187	9.805720	17.999906	8	9	9	347
8.446266	11.229738	19.676004	6	3	10	80
8.509299	18.473299	26.982598	9	10	6	350
8.556414	0.868605	9.425018	0	11	1	338
8.668186	14.425805	23.093991	0	10	1	368
8.689886	2.792727	11.482613	5	11	10	387
8.921383	2.159482	11.080865	11	3	7	198
8.932451	8.497003	17.429454	3	4	7	363
9.551615	1.006080	10.557695	5	8	7	173
9.762970	21.656692	31.419662	6	8	5	116
9.794618	9.868446	19.663064	5	8	10	318
9.795409	12.852420	22.647830	11	6	6	245
10.036823	0.162607	10.199430	4	6	4	27
10.212123	9.024664	19.236787	1	7	7	285
10.398646	8.137007	18.535653	2	6	1	116
10.609391	1.731156	12.340547	10	8	1	381
10.620381	1.661378	12.281759	8	6	8	172
10.683794	11.891812	22.575606	5	7	1	330
10.701387	3.838500	14.539887	11	6	3	11
10.985463	11.775591	22.761053	7	0	9	114
11.124934	8.082960	19.207894	1	9	1	92
11.182337	4.925774	16.108111	0	8	9	263
11.191718	25.920353	37.112071	4	10	3	215
11.244931	18.430738	29.675669	9	0	8	206
11.301118	4.422290	15.723409	7	4	6	282
11.487958	0.445701	11.933659	9	10	1	203
11.632942	3.635098	15.268040	7	10	1	325
11.944692	5.078063	17.022755	2	7	10	7
12.035987	12.206404	24.242391	7	8	1	370
12.054183	53.727138	65.781322	3	10	9	384
12.232630	4.399244	16.631874	10	0	9	209
12.436972	14.377890	26.814862	8	2	4	29
12.554670	8.993769	21.548439	5	1	9	129
12.765226	11.766878	24.532104	1	5	7	339
12.862485	1.638462	14.500947	5	0	1	333
12.968154	5.089545	18.057699	8	3	1	372
13.047841	2.755637	15.803478	9	0	5	231
13.051519	4.207656	17.259175	4	7	1	223
13.067829	7.197543	20.265373	0	5	1	220
13.072391	10.984859	24.057251	5	11	9	20
13.216924	1.119471	14.336395	9	5	5	197
13.270838	1.402913	14.673750	7	11	10	75
13.372329	3.885794	17.258123	4	8	8	168
13.712510	10.834213	24.546722	3	8	9	171
13.753472	18.740953	32.494425	8	5	7	303
13.828941	8.057726	21.886667	9	1	4	239
14.030191	19.272527	33.302718	3	8	3	326
14.067306	4.858693	18.925999	2	10	10	317
14.078749	3.809499	17.888249	7	11	10	339
14.127627	4.373656	18.501282	0	7	10	2
14.152742	1.876338	16.029080	5	7	9	354
14.532021	17.667506	32.199527	1	8	9	371
14.767862	4.135036	18.902898	7	3	1	104
14.911218	8.037884	22.949102	9	8	6	73
15.204292	8.640576	23.844868	0	11	5	142
15.436859	7.371682	22.808541	5	3	2	238
15.466359	0.026917	15.493275	4	9	5	286
15.785046	44.520560	60.305606	5	3	9	369
15.895775	23.574804	39.470579	6	8	6	188
16.131110	2.327342	18.458452	9	10	5	333
16.454573	3.460027	19.914600	3	9	8	260
16.509249	7.339903	23.849153	5	10	4	73
16.525905	23.218838	39.744744	1	0	5	133
16.562861	41.123589	57.686450	6	10	2	132
16.642440	2.977891	19.620331	9	4	9	310
16.885844	8.309369	25.195213	0	8	2	258
