t_req	t_hold	t_exp	source	dest	lp_size	slot_indx
0.000000	11.922721	11.922721	8	9	9	265
0.046927	3.370675	3.417602	7	6	5	119
0.347939	2.572841	2.920780	0	2	3	209
0.479614	8.014337	8.493950	8	0	4	13
0.570908	12.710709	13.281617	10	8	3	249
0.587870	5.500975	6.088846	2	4	2	78
0.604830	39.509821	40.114651	5	4	2	141
0.610814	11.546423	12.157237	7	8	3	83
0.811937	6.557202	7.369139	10	4	5	218
0.903845	4.977737	5.881582	3	8	4	141
1.026970	4.203423	5.230393	10	8	6	172
1.029050	13.058199	14.087249	9	8	5	264
1.379406	5.772722	7.152128	3	4	1	40
1.558049	0.615328	2.173377	6	10	1	58
1.581917	5.075714	6.657631	11	1	7	327
1.601985	13.393932	14.995918	5	9	5	342
1.622247	2.014943	3.637189	11	10	7	389
1.658522	1.929196	3.587718	10	0	4	292
1.732915	7.583288	9.316203	11	4	8	119
1.789468	7.589186	9.378655	9	7	9	363
1.823891	10.062181	11.886071	7	10	3	62
1.918528	18.933391	20.851919	7	5	1	132
1.933551	12.890055	14.823606	5	9	4	299
1.968103	9.442364	11.410467	4	10	7	307
2.013730	12.817303	14.831034	0	5	7	67
2.074624	3.900233	5.974857	0	5	8	293
2.228418	4.490858	6.719275	6	3	7	258
2.250691	2.591118	4.841809	10	4	8	310
2.322894	3.477351	5.800245	7	0	9	343
2.412645	9.968939	12.381584	6	8	1	92
2.417401	0.966265	3.383666	4	3	1	202
2.510934	5.686334	8.197268	0	9	7	49
2.529630	5.636337	8.165967	7	5	10	268
2.536357	6.805965	9.342321	9	5	4	187
2.833726	5.548303	8.382028	5	0	10	8
3.170789	3.743462	6.914251	1	0	7	81
3.336022	5.557381	8.893403	4	1	6	139
3.372350	22.385701	25.758052	8	0	8	159
3.382628	28.852651	32.235280	11	1	2	165
3.497903	6.968273	10.466176	5	10	4	92
3.555912	9.780410	13.336323	9	5	8	15
3.568928	1.228666	4.797594	11	3	7	132
3.637282	3.816785	7.454067	1	10	4	20
3.640782	5.358464	8.999246	10	7	10	154
3.880824	20.122253	24.003077	5	11	10	286
3.910770	2.882894	6.793664	9	10	4	200
4.019395	6.597787	10.617182	4	8	2	94
4.056750	42.377383	46.434133	2	10	10	299
4.130161	7.328971	11.459132	10	4	7	55
4.209283	9.490581	13.699864	5	7	10	266
4.229722	1.285480	5.515203	6	5	8	386
4.579003	17.506605	22.085608	3	5	8	9
4.728228	9.239705	13.967932	8	6	4	356
5.008737	7.876073	12.884810	7	10	1	289
5.233952	4.197119	9.431071	9	6	9	145
5.325058	3.625792	8.950849	1	10	9	329
5.580001	5.396062	10.976063	11	7	4	61
5.589267	11.435075	17.024341	3	11	9	182
5.611080	20.831030	26.442110	0	4	10	189
5.615708	7.142122	12.757830	8	11	10	291
5.655062	11.065853	16.720915	2	11	6	98
5.704275	8.817361	14.521635	6	1	4	4
